1325951295447044097,pronunciamento de boulos e erundina!,neutral,pronouncement of boulos and erundina!
1325951288429916160,"@arthurmoledoval nao votem no mamaeflaie, ele vai vai tirar o dirieito dos pobres, votem boulos 5000000",negative,"@arthurmoledoval don't vote for mamaeflaie, he'll take away the rights of the poor, vote for boulos 5000000"
1325951283560411137,boulos é a oportunidade do paulistano mudar. pena não ser em bh. vai pra cima boulos.,negative,boulos is the paulistano's opportunity to change. sorry not to be in bh. go up boulos.
1325951282788577282,paulista tá com merda na cabeça de botar boulos pro segundo turno mó suicídio,negative,paulista has shit in his head to put bulls for the second round of suicide
1325951262035210241,"vamos derrotar o bolsodoria em sp, vote boulos 50. #virasp50",neutral,"let's defeat bolsodoria in sp, vote boulos 50. # virasp50"
1325951254565154816,"@phodux @elenalandau com base em q vc diz isso, se boulos nunca foi prefeito? já o covas sim",neutral,"@phodux @elenalandau based on what you say, if boulos was never a mayor? already the pits yes"
1325951249225822211,"boulos assume 2° lugar e caminha firme para o segundo turno. parabéns, @guilhermeboulos ibope em são paulo: bruno covas amplia vantagem e lidera pesquisa com 32% via @uolnoticias @uol",negative,"boulos takes 2nd place and moves steadily to the second round. congratulations, @guilhermeboulos ibope in são paulo: bruno covas expands advantage and leads research with 32% via @uolnoticias @uol"
1325951246805708800,"eu acho que pro boulos é importante ir pro segundo turno e perder. falo sério. a situação com covas vai continuar o descontentamento da galera e dá pra entrar com mais rigor como oposição. no mais, essa candidatura dele pode trazer uma câmara com mais representantes de esquerda.",positive,"i think for boulos it is important to go to the second round and lose. I'm serious. the pitted situation will continue the crowd's discontent and we can enter with more rigor as an opposition. in addition, his candidacy may bring a chamber with more representatives of the left."
1325951233543335948,"@wanmarcal a maioria nem liga um a outro. os votos do pt estavam todos com o russomano. alguns migraram pro covas,frança e outros pro tatto. quase nada pro boulos.",positive,"@wanmarcal most don't even care about each other. the votes of the pt were all with the Russoman. some migrated to covas, france and others to tatto. almost nothing for boulos."
1325951233492914176,a campanha mais bonita desse país está com chances reais de ir ao segundo turno. é boulos e erundina!,positive,the most beautiful campaign in that country has real chances of going to the second round. it's boulos and erundina!
1325951226996002816,"@elenalandau covas esta mais perto de ganhar no primeiro turno que o boulos no segundo turno. russomano derrete e esta passando os votos pro covas , paulistano é pragmático, melhor resolver logo o que vai ser resolvido",positive,"@elenalandau covas is closer to winning in the first round than boulos in the second round. russanoman melts and is passing the votes to the caves, paulistano is pragmatic, better to solve soon what will be solved"
1325951222059323392,"ainda não me convenço que o boulos vai conseguir, mas....",neutral,"I'm still not convinced that boulos will make it, but ...."
1325951217713942530,@vidaban49104501 @guilhermeboulos concordo. quem vota hoje em russomanno não tende a votar em boulos.,neutral,@ vidaban49104501 @guilhermeboulos I agree. those who vote in Russomanno today do not tend to vote for boulos.
1325951193210892293,@paulomathias quem vota no boulos??!!,neutral,@paulomathias who votes for boulos ?? !!
1325951188521586689,"@elenalandau boulos está estagnado, quem subiu foi bruno covas. na pesquisa anterior boulos também estagnou e quem oscilou para cima foi marcio frança.",negative,"@elenalandau boulos is stagnant, who went up was bruno covas. in previous research, boulos also stagnated and the one who swung up was marcio france."
1325951181726887937,"@iohansardinha poh mas ele tá com 13 o outro tá com 32, não acho que vira, mas independente disso o boulos estar em segundo eu já acho incrível demais",positive,"@iohansardinha poh but he is 13, the other is 32, I don’t think he will turn, but regardless of that, boulos is in second place, I think it’s too incredible"
1325951174269411329,manu tem chances de vencer. boulos não.,positive,manu has a chance to win. no boulos.
1325951173506052101,emocionante! boulos emocionadíssimo... #virasp50 #bouloserundina50,positive,exciting! boulos very emotional ... # virasp50 # bouloserundina50
1325951167529164800,fica que vai ter boulos,neutral,there will be boulos
1325951160566550528,"@samiabomfim @guilhermeboulos @luizaerundina vamos nos fartar de boulos, lotado de erundina!!! que delícia!!! à vitória!!!",positive,"@samiabomfim @guilhermeboulos @luizaerundina let's get fed up with boulos, packed with erundin !!! delicious!!! the victory!!!"
1325951155738976258,o boulos chegou e virou! #virasp50,neutral,the boulos came and turned! # virasp50
1325951153058828288,@netuno28 eu já disse que se você não votar no boulos a gente termina,neutral,@ netuno28 I already said that if you don't vote for boulos we will finish
1325951140270387200,@guilhermeboulos é boulos lá e bené aqui! a derrocada do bozo passa pela eleição municipal de domingo.,positive,@guilhermeboulos is boulos there and good here! the collapse of bozo goes through Sunday's municipal election.
1325951125548376070,"vcs da ilha já mandaram msg pra aquele parente/amigo/conhecido que mora em sp? aquela mensagem de fé ""pq votar em boulos 50""? reta final, galera! a distância tb dá pra multiplicar votos! #bouloserundina50",neutral,"you guys from the island already sent msg to that relative / friend / acquaintance who lives in sp? that message of faith ""why vote for boulos 50""? final stretch, guys! the distance can also multiply votes! # bouloserundina50"
1325951111065432064,"man, o boulos passou o russomano... eu to começando acreditar",neutral,"man, boulos passed the Russoman ... I'm starting to believe"
1325951100000890880,"@elenalandau na prática o boulos não ganhou voto entre as últimas pesquisas. ficou estável com 13% dos votos totais, e do jeito que tá indo acho que tem chance de ganhar no primeiro turno (a cada pesquisa ganha 5-6 p.p. do russomano)",positive,"@elenalandau in practice boulos did not win a vote among the latest polls. it was stable with 13% of the total votes, and the way it is going I think it has a chance of winning in the first round (each poll wins 5-6 p.p. of Russomano)"
1325951095332610048,"@kimpaim ainda não dá pra acreditar não, só pode ser manipulação mesmo porque não posso crer que pode existir tantos paulistanos que não conhecem a vida do boulos, não pode ser verdade.",positive,"@kimpaim you still can't believe it, it can only be manipulation because I can't believe that there can be so many paulistanos who don't know the life of the boulos, it can't be true."
1325951076651167744,@blogdosakamoto era pra ser boulos 29%,neutral,@blogdosakamoto it was supposed to be boulos 29%
1325951062642216961,me mudando pra sp agora mesmo pra poder votar no boulos,positive,moving to sp right now to be able to vote for boulos
1325951045680455680,isso vai acontecer se os paulistanos não tiver vergonha na cara!!! eleger boulos??? pelo amor de deus... não merece nem um voto tão pouco ir para o segundo turno!.,positive,this will happen if paulistanos are not ashamed in the face !!! elect boulos ??? for the love of god ... it doesn't even deserve a vote to go to the second round !.
1325951024050401280,@arthurmoledoval votem no boulos,neutral,@arthurmoledoval vote for boulos
1325950984997269504,"@caiocgomes no rio nós deram pães, em são paulo boulos.",neutral,"@caiocgomes in rio we gave bread, in são paulo boulos."
1325950982132555778,"@denholmeoconnor a pesquisa e fraude ( que esta em moda agora). ele esta com 32% a cresceu assim, meu deus. tira pelo menos 16% e joga para russomano. certeza. e ai note 13% para ele e para boulos. isto e para forçar a votação no psdb",negative,"@denholmeoconnor research and fraud (which is in fashion now). he has 32% and he grew up like that, my god. take at least 16% and play for Russomano. assurance. and then notice 13% for him and boulos. this and to force the vote on psdb"
1325950980589039617,@samiabomfim @guilhermeboulos @luizaerundina vai da boulos!,neutral,@samiabomfim @guilhermeboulos @luizaerundina vai da boulos!
1325950963816026117,"temos 6 dias para virar o jogo em sp e levar o boulos 50 para o segundo turno, vamos derrotar o bolsodoria. #bouloserundina50",negative,"we have 6 days to turn the game in sp and take boulos 50 for the second round, we will defeat the bolsodoria. # bouloserundina50"
1325950955502903296,eleições em sp: 1° covas - 32% 2º boulos - 13% 3º russomano - 12% 4º frança - 10%,neutral,elections in sp: 1st covas - 32% 2nd boulos - 13% 3rd Russomano - 12% 4th france - 10%
1325950954882162688,é boulos lá e bené aqui! a derrocada do bozo passa pela eleição municipal de domingo.,neutral,it's boulos there and bené here! the collapse of bozo goes through Sunday's municipal election.
1325950943926624256,boulos e erundina com @sheikhrodrigo #virasp50,neutral,boulos and erundina with @sheikhrodrigo # virasp50
1325950940478918656,"@patrlotas boulos fecais, isso sim!",neutral,"@patrlotas fecal boulos, that's it!"
1325950932262264832,a minha mãe é sensacional nas eleições pra presidente votou no boulos mas agr n sabe se vai votar amkxallazmcnajxnf,positive,my mother is sensational in the elections for president she voted for boulos but agr n knows if she will vote amkxallazmcnajxnf
1325950929124945928,"russomano, boulos e frança estão empatados na margem de erro. tem que fazer campanha até o último dia. de qualquer forma, fortalecimento do psol enfraquece pt.",neutral,"Russomano, Boulos and France are tied at the margin of error. have to campaign until the last day. in any case, strengthening of psol weakens pt."
1325950904504299522,"meu deus, né possível que são paulo vai ter um segundo turno top com boulos e aqui o papagaio de pirata vai ganhar logo no 1º",positive,"oh my god, is it possible that são paulo will have a second round with boulos and here the pirate parrot will win right on the 1st"
1325950904114278400,@paulomartins10 boulos não! #elenao,neutral,@ paulomartins10 boulos no! #he no
